city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Aberaeron,Aberaeron,52.2500,-4.2500,United Kingdom,GB,GBR,Ceredigion,admin,,1826410688
Aberdeen,Aberdeen,57.1704,-2.0800,United Kingdom,GB,GBR,Aberdeen City,admin,189364,1826324306
Abertawe,Abertawe,51.6300,-3.9500,United Kingdom,GB,GBR,Swansea,admin,294339,1826574888
Alloa,Alloa,56.1167,-3.8000,United Kingdom,GB,GBR,Clackmannanshire,admin,,1826126712
Antrim,Antrim,54.7129,-6.2085,United Kingdom,GB,GBR,Antrim and Newtownabbey,admin,,1826477610
Armagh,Armagh,54.3481,-6.6496,United Kingdom,GB,GBR,"Armagh, Banbridge and Craigavon",admin,,1826000010
Ashton-under-Lyne,Ashton-under-Lyne,53.5000,-2.1000,United Kingdom,GB,GBR,Tameside,admin,,1826027715
Aylesbury,Aylesbury,51.8167,-0.8000,United Kingdom,GB,GBR,Buckinghamshire,admin,,1826391298
Ayr,Ayr,55.4504,-4.6167,United Kingdom,GB,GBR,South Ayrshire,admin,69042,1826430700
Ballymena,Ballymena,54.8612,-6.2763,United Kingdom,GB,GBR,Mid and East Antrim,admin,,1826020355
Banbridge,Banbridge,54.3509,-6.2670,United Kingdom,GB,GBR,"Armagh, Banbridge and Craigavon",admin,,1826331367
Bangor,Bangor,54.6617,-5.6654,United Kingdom,GB,GBR,Ards and North Down,admin,,1826282262
Barnsley,Barnsley,53.5500,-1.4833,United Kingdom,GB,GBR,Barnsley,admin,,1826597621
Barri,Barri,51.4067,-3.2694,United Kingdom,GB,GBR,"Vale of Glamorgan, The",admin,,1826605492
Bath,Bath,51.3837,-2.3500,United Kingdom,GB,GBR,Bath and North East Somerset,admin,93238,1826611282
Bedford,Bedford,52.1333,-0.4500,United Kingdom,GB,GBR,Bedford,admin,,1826771105
Belfast,Belfast,54.6000,-5.9600,United Kingdom,GB,GBR,Belfast,,450406,1826509389
Belfast,Belfast,54.5968,-5.9254,United Kingdom,GB,GBR,Belfast,admin,,1826325087
Beverley,Beverley,53.8333,-0.4167,United Kingdom,GB,GBR,East Riding of Yorkshire,admin,,1826700096
Bexleyheath,Bexleyheath,51.4500,0.1500,United Kingdom,GB,GBR,Bexley,admin,,1826858601
Birmingham,Birmingham,52.4750,-1.9200,United Kingdom,GB,GBR,Birmingham,admin,2285000,1826423213
Blackburn,Blackburn,53.7500,-2.4833,United Kingdom,GB,GBR,Blackburn with Darwen,admin,,1826802533
Blackpool,Blackpool,53.8304,-3.0500,United Kingdom,GB,GBR,Blackpool,admin,272792,1826093175
Bolton,Bolton,53.5833,-2.4333,United Kingdom,GB,GBR,Bolton,admin,,1826628353
Bournemouth,Bournemouth,50.7300,-1.9000,United Kingdom,GB,GBR,Bournemouth,admin,426945,1826769743
Bracknell,Bracknell,51.4167,-0.7500,United Kingdom,GB,GBR,Bracknell Forest,admin,,1826880896
Bradford,Bradford,53.8000,-1.7500,United Kingdom,GB,GBR,Bradford,admin,501700,1826687116
Brighton,Brighton,50.8303,-0.1700,United Kingdom,GB,GBR,Brighton and Hove,,503008,1826609057
Bristol,Bristol,51.4500,-2.5833,United Kingdom,GB,GBR,"Bristol, City of",admin,553528,1826921049
Bromley,Bromley,51.4000,0.0500,United Kingdom,GB,GBR,Bromley,admin,,1826385764
Bury,Bury,53.6000,-2.3000,United Kingdom,GB,GBR,Bury,admin,,1826242195
Caerdydd,Caerdydd,51.5000,-3.2250,United Kingdom,GB,GBR,Cardiff,admin,861400,1826362422
Caerfyrddin,Caerfyrddin,51.8592,-4.3117,United Kingdom,GB,GBR,Carmarthenshire,admin,,1826550370
Caernarfon,Caernarfon,53.1500,-4.2667,United Kingdom,GB,GBR,Gwynedd,admin,,1826011275
Camberwell,Camberwell,51.4736,-0.0916,United Kingdom,GB,GBR,Southwark,admin,,1826778761
Cambridge,Cambridge,52.2004,0.1166,United Kingdom,GB,GBR,Cambridgeshire,admin,128488,1826229713
Camden Town,Camden Town,51.5457,-0.1403,United Kingdom,GB,GBR,Camden,admin,,1826810136
Carlisle,Carlisle,54.8800,-2.9300,United Kingdom,GB,GBR,Cumbria,admin,72633,1826843688
Catford,Catford,51.4500,-0.0167,United Kingdom,GB,GBR,Lewisham,admin,,1826259011
Chelmsford,Chelmsford,51.7333,0.4833,United Kingdom,GB,GBR,Essex,admin,,1826876670
Chester,Chester,53.2000,-2.9200,United Kingdom,GB,GBR,Cheshire West and Chester,admin,89531,1826441668
Chichester,Chichester,50.8333,-0.7833,United Kingdom,GB,GBR,West Sussex,admin,,1826696164
Chicksands,Chicksands,52.0333,-0.3667,United Kingdom,GB,GBR,Central Bedfordshire,admin,,1826903198
City of Westminster,City of Westminster,51.5000,-0.1167,United Kingdom,GB,GBR,Westminster,admin,,1826759011
Clydach Vale,Clydach Vale,51.6267,-3.4761,United Kingdom,GB,GBR,Rhondda Cynon Taff,admin,,1826644016
Coleraine,Coleraine,55.1349,-6.6687,United Kingdom,GB,GBR,Causeway Coast and Glens,admin,,1826465785
Conwy,Conwy,53.2833,-3.8333,United Kingdom,GB,GBR,Conwy,admin,,1826011797
Cookstown,Cookstown,54.6428,-6.7452,United Kingdom,GB,GBR,Mid Ulster,admin,,1826277161
Coventry,Coventry,52.4204,-1.5000,United Kingdom,GB,GBR,Coventry,admin,388271,1826979198
Craigavon,Craigavon,54.4497,-6.3646,United Kingdom,GB,GBR,"Armagh, Banbridge and Craigavon",admin,,1826678234
Croydon,Croydon,51.3833,-0.1000,United Kingdom,GB,GBR,Croydon,admin,,1826126675
Dagenham,Dagenham,51.5500,0.1667,United Kingdom,GB,GBR,Barking and Dagenham,admin,,1826363543
Dalkeith,Dalkeith,55.8667,-3.0667,United Kingdom,GB,GBR,Midlothian,admin,,1826152382
Darlington,Darlington,54.5333,-1.5667,United Kingdom,GB,GBR,Darlington,admin,,1826453946
